id,question,content,category,source
1,"Я сменил автомобить, на учет еще не поставил, могу ли я заправляться по топливной карте?","Для внесения данных по личному автомобилю обратитесь, пожалуйста, к своему руководителю для создания заявки по теме ""Изменение режима характера работы"", подтема ""Установка РХР и топливной карты"". В комментариях опишите ситуацию и приложите ПТС, СТС, страховой полис и водительское удостоверение.",автомобиль,faq
2,Не отображается автомобиль в личном кабинете.,"Для внесения данных по личному автомобилю обратитесь, пожалуйста, к своему руководителю для создания заявки по теме ""Изменение режима характера работы"", подтема ""Установка РХР и топливной карты"". В комментариях опишите ситуацию и приложите ПТС, СТС, страховой полис и водительское удостоверение.",автомобиль,faq
3,добавить автомобиль,"Для внесения данных по личному автомобилю обратитесь, пожалуйста, к своему руководителю для создания заявки по теме ""Изменение режима характера работы"", подтема ""Установка РХР и топливной карты"". В комментариях опишите ситуацию и приложите ПТС, СТС, страховой полис и водительское удостоверение.",автомобиль,faq
4,хочу внести данные об автомобиле,"Для внесения данных по личному автомобилю обратитесь, пожалуйста, к своему руководителю для создания заявки по теме ""Изменение режима характера работы"", подтема ""Установка РХР и топливной карты"". В комментариях опишите ситуацию и приложите ПТС, СТС, страховой полис и водительское удостоверение.",автомобиль,faq
5,Как внести данные об автомобиле?,"Для внесения данных по личному автомобилю обратитесь, пожалуйста, к своему руководителю для создания заявки по теме ""Изменение режима характера работы"", подтема ""Установка РХР и топливной карты"". В комментариях опишите ситуацию и приложите ПТС, СТС, страховой полис и водительское удостоверение.",автомобиль,faq
6,мне нужно внести данные об автомобиле,"Для внесения данных по личному автомобилю обратитесь, пожалуйста, к своему руководителю для создания заявки по теме ""Изменение режима характера работы"", подтема ""Установка РХР и топливной карты"". В комментариях опишите ситуацию и приложите ПТС, СТС, страховой полис и водительское удостоверение.",автомобиль,faq
7,внести машину,"Для внесения данных по личному автомобилю обратитесь, пожалуйста, к своему руководителю для создания заявки по теме ""Изменение режима характера работы"", подтема ""Установка РХР и топливной карты"". В комментариях опишите ситуацию и приложите ПТС, СТС, страховой полис и водительское удостоверение.",автомобиль,faq
8,"При смене автомобиля, который используется в служебных целях, как изменить марку и госномер авто в личном кабинете?","Для внесения данных по личному автомобилю обратитесь, пожалуйста, к своему руководителю для создания заявки по теме ""Изменение режима характера работы"", подтема ""Установка РХР и топливной карты"". В комментариях опишите ситуацию и приложите ПТС, СТС, страховой полис и водительское удостоверение.",автомобиль,faq
9,"Будет ли оплачен больничный, если он открыт в другой стране?",Сотруднику следует обратиться в мед. организацию (по месту прописки) с данными документами для выдачи больничного листа российского образца. Оплата больничного листа возможна только на основании листа нетрудоспособности российского образца.,БиР,faq
10,как оформить больничный по беременности и родам,"Пожалуйста, обратитесь к непосредственному руководителю, чтобы он создал заявку в Личном кабинете https://company-x5.ru или приложении ""Моя работа"" в разделе ""Декрет"", ""Администрирование отпуска Беременность и роды"".",БиР,faq
11,что делать после получения больничного по беременности и родам,"Пожалуйста, обратитесь к непосредственному руководителю, чтобы он создал заявку в Личном кабинете https://company-x5.ru или приложении ""Моя работа"" в разделе ""Декрет"", ""Администрирование отпуска Беременность и роды"".",БиР,faq
12,как оформить Беременность и роды?,"Пожалуйста, обратитесь к непосредственному руководителю, чтобы он создал заявку в Личном кабинете https://company-x5.ru или приложении ""Моя работа"" в разделе ""Декрет"", ""Администрирование отпуска Беременность и роды"".",БиР,faq
13,Как оформить больничный по беременности и родам?,"Сотруднику следует обратиться к непосредственному руководителю, чтобы он создал заявку в Личном кабинете https://company-x5.ru или приложении ""Моя работа"" в разделе ""Декрет"", ""Администрирование отпуска Беременность и роды"".",БиР,faq
14,как оформить моей сотруднице декретный отпуск?,"Обратитесь к HRBP для создания заявки ""Администрирование Беременность и роды""",БиР,faq
15,"сотрудница уходит в декрет, как мне провести ей декретный отпуск","Обратитесь к HRBP для создания заявки ""Администрирование Беременность и роды""",БиР,faq
16,Как оформить пособие по рождению ребенка?,"Если ребенок зарегистрирован в ЗАГС 11.10.2023 или после 11.10.2023, и получателем пособия является мама ребенка, создавать заявку не нужно, необходимые данные работодателю будет направлять Социальный фонд России. Если ребенок зарегистрирован в ЗАГС до 11.10.2023 или получателем пособия является отец ребенка (независимо от даты регистрации), требуется создать заявку для передачи сведений в Социальный фонд России в Личном кабинете https://company-x5.ru или приложении ""Моя работа"" в разделе ""Декрет"", тема ""Выплата единовременного пособия по рождению ребенка"".",БиР,faq
17,"Родила ребенка, как оформить пособие?","Если ребенок зарегистрирован в ЗАГС 11.10.2023 или после 11.10.2023, и получателем пособия является мама ребенка, создавать заявку не нужно, необходимые данные работодателю будет направлять Социальный фонд России. Если ребенок зарегистрирован в ЗАГС до 11.10.2023 или получателем пособия является отец ребенка (независимо от даты регистрации), требуется создать заявку для передачи сведений в Социальный фонд России в Личном кабинете https://company-x5.ru или приложении ""Моя работа"" в разделе ""Декрет"", тема ""Выплата единовременного пособия по рождению ребенка"".",БиР,faq
18,хочу оформить единовременную выплату,"Если ребенок зарегистрирован в ЗАГС 11.10.2023 или после 11.10.2023, и получателем пособия является мама ребенка, создавать заявку не нужно, необходимые данные работодателю будет направлять Социальный фонд России. Если ребенок зарегистрирован в ЗАГС до 11.10.2023 или получателем пособия является отец ребенка (независимо от даты регистрации), требуется создать заявку для передачи сведений в Социальный фонд России в Личном кабинете https://company-x5.ru или приложении ""Моя работа"" в разделе ""Декрет"", тема ""Выплата единовременного пособия по рождению ребенка"".",БиР,faq
